id,uid,title,score,date,content,,
,,Worth to visit,4,,Beautiful place and snap night view photos here.LED light performance start at 7.45pm and 8.45pm. Enjoy nice performance here,,
,,The sound and light show at 7.45pm and 8.45pm is not to be missed,5,,We spent time in the free to enter areas. The kids enjoyed the children's water play area. The shops had plenty of goodies. The dining area the satay at the bay offered choice and good value. There were western meals and Asian choices. However we were there really to see the sound and light show. Dancing lights to well known music. A real,,
,,Beautiful natural exhibits,5,,"Amazing collection of flowering plants, cacti, and other kinds of foliage. The cloud forest exhibit had tons of information about impacts of manmade effects on the environment and climate change impacts on the world overall. Very impressive.",,
,,High tech view of nature,4,,"The Gardens by the Bay are very attractive, well designed and maintained. You can spend quite a bit of time there, as there is the Cloud Forest, Flower Dome, and SuperTree Grove, which lights up at night. It is not cheap: $28 plus extra for the sky walk, but it is a good family activity.",,
,,A city of gardens,5,,"The gardens are well worth a visit - they are beautiful and exotic - even though the whole city seems to be a garden, this is special! We had a wonderful time.",,
,,Must visit,5,,You should definitely visit this place if you are in Singapore. It is truly a magical experience especially in the evening when the super groves are lit up. Try to visit this place around 7.30 pm as there is a spectacular light and music show at that time (please recheck the timings with locals). Lying down on the ground witnessing the dance of lights was very humbling for me. :),,
,,Excellent,5,,"This was truly a remarkable place by both day and night. Do both if you can, but if you can鈥檛 definitely do the night and watch and listen to the light show. Unforgettable!! This was a major highlight of our trip",,
,,What a Great Place...,5,,We visited the Gardens by the Bay on two occasions during our stay because we enjoyed the atmosphere and the different exhibits so much. The Cloud Forest was spectacular and the Flower Dome so cool it felt like perpetual spring. Do not miss the SuperTree light show!,,
,,"Great attraction, not fisted anything like this before",5,,"Great day wondering the park. Audio tram tour is a good way to see the park, learn about the different areas and not break out in a sweat. Conservatories are a must to visit but the actual park is free to expire and you will visit more than once.",,
,,Walk through Gardens by the Bay,5,,"It's terrific! All the plants, flowers, the constructions just breathtaking. It's really worth to spend a few hours there.",,
,,Beautiful,5,,"The gardens are stunning. We especially loved the cloud forest dome, unbelievable selection of flowers and plants. Considering the size of the dome there is a huge amount crammed in. Well with a visit",,
,,Wonderful place to visit,5,,"We spent nearly 4 hours here, wandering through the outdoor gardens and the two domes. The otters were an absolute draw for us- even more so when they followed us down the road and crossed the road at an otter crossing. We loved the Cloud dome miles more than the flower dome as we have many of those plants in our garden. Be warned- the skywalk was closed for a while which frustrated us.",,
,,Light show,5,,Another great show to see and does not cost ypu anything. Find your spot early can get really busy. Sit back or lay on the ground look up and enjoy this great show. Two shows nightly 7.45 and 8.45.,,
,,Sakura exhibition on March 2018! Beautifull!,5,,"You better check the schedule to know what flower are blooming in flower dome. We are lucky to saw Sakura. Very pretty! Kindly check on their website, and also check their black out date for maintanance.
We bought the ticket on KLO*K
Cheaper than buying at the place, and also easy to use.
We only visit flower dome and cloud forest.
Night and day both beautifull, we cant decide which one is better.
At cloud forest, they have spesific time to make fog, tha ambiance was magical.
Reaching this place was very easy, simply use MRT and stop by Bayfront station then take a walk.
This is one of the best ecperience in Singapore. Please take your time to visit this wonder!",,
,,A Garden for All,5,,"Must see in Singapore, even you are not enthusiasts about gardens and flowers. You will appreciate diffent species of plants and flowers. Just bring caps ang umbrellas if you intend to explore the entire area. Must better to bring extra clothes as the weather is hot.
Highly recommended for tourist.",,
,,Nice,4,,Definitely nice place to check out if your visiting singapore you won't see something like this anywhere else. Took about 2hrs to complete entire tour then headed to marina bay accross.,,
